person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
58,43613,RENT,,HOMEIMPROVEMENT,B,9633,8.8,0.221,N,29,0
48,93753,MORTGAGE,,EDUCATION,D,23179,14.77,0.247,N,12,0
34,68064,RENT,1.8,VENTURE,B,10960,9.46,0.161,N,23,0
62,16106,MORTGAGE,0.7,EDUCATION,A,9549,7.4,0.593,N,27,0
27,54734,OWN,2.7,HOMEIMPROVEMENT,C,10278,13.53,0.188,N,17,1
40,41128,OWN,0.5,MEDICAL,A,23647,8.36,0.575,N,11,0
58,24329,RENT,1.5,DEBTCONSOLIDATION,A,1355,5.16,0.056,Y,5,0
38,58939,RENT,2.3,EDUCATION,B,15521,10.27,0.263,N,29,0
42,37404,RENT,,EDUCATION,B,13554,10.74,0.362,N,11,1
30,37532,MORTGAGE,7.9,VENTURE,B,23085,10.69,0.615,N,27,1
30,52481,MORTGAGE,2.9,HOMEIMPROVEMENT,A,12646,5.0,0.241,Y,19,0
43,34744,MORTGAGE,6.4,EDUCATION,B,30221,9.55,0.87,Y,18,1
55,51671,OWN,4.2,MEDICAL,D,23269,16.98,0.45,N,17,1
59,35371,RENT,2.1,DEBTCONSOLIDATION,B,17726,9.03,0.501,N,21,0
43,36455,RENT,,MEDICAL,C,12470,11.58,0.342,N,29,1
22,84635,RENT,5.8,PERSONAL,A,25302,7.68,0.299,N,8,0
41,89506,RENT,,HOMEIMPROVEMENT,A,2105,7.36,0.024,N,25,0
21,19153,RENT,4.8,MEDICAL,E,19516,19.28,1.019,Y,20,1
43,73931,MORTGAGE,5.7,VENTURE,B,25842,9.22,0.35,N,20,0
63,105791,RENT,2.4,DEBTCONSOLIDATION,B,5371,8.42,0.051,N,6,0
49,115445,RENT,,HOMEIMPROVEMENT,E,23630,20.14,0.205,N,11,0
57,65264,MORTGAGE,0.9,MEDICAL,C,13937,17.0,0.214,N,27,0
21,27403,RENT,10.8,EDUCATION,D,15881,14.06,0.58,N,24,1
40,69320,MORTGAGE,2.1,HOMEIMPROVEMENT,C,7824,14.22,0.113,Y,5,0
52,30391,RENT,0.7,MEDICAL,A,26770,6.79,0.881,N,8,1
31,40593,MORTGAGE,,EDUCATION,F,8953,22.38,0.221,N,19,1
41,60517,OWN,2.4,PERSONAL,E,27136,18.93,0.448,N,12,0
63,31488,RENT,8.5,DEBTCONSOLIDATION,A,12850,9.63,0.408,N,2,0
44,26094,MORTGAGE,2.8,HOMEIMPROVEMENT,D,22153,15.04,0.849,N,23,1
46,63333,OWN,5.5,HOMEIMPROVEMENT,B,22793,9.28,0.36,N,5,1
61,136895,MORTGAGE,1.8,MEDICAL,C,19023,13.09,0.139,N,17,0
47,97127,RENT,1.2,PERSONAL,A,22866,7.68,0.235,N,24,0
35,72326,RENT,2.5,VENTURE,C,20100,,0.278,N,2,0
34,83998,MORTGAGE,,MEDICAL,A,27057,7.59,0.322,N,2,0
63,69615,OWN,5.3,MEDICAL,C,6778,13.27,0.097,Y,22,0
22,62783,RENT,4.3,VENTURE,A,21216,6.47,0.338,N,18,0
56,80357,RENT,22.1,VENTURE,B,2235,10.61,0.028,N,3,0
26,23095,RENT,5.9,VENTURE,C,11511,12.14,0.498,N,4,1
40,54705,RENT,,DEBTCONSOLIDATION,E,6206,19.24,0.113,N,18,0
28,46886,RENT,0.6,VENTURE,A,22702,6.74,0.484,N,25,0
58,51194,RENT,0.3,VENTURE,E,25903,,0.506,N,3,0
37,38034,RENT,1.9,EDUCATION,B,15039,,0.395,N,3,0
23,65268,RENT,0.7,EDUCATION,D,32795,14.82,0.502,N,9,0
44,31261,OWN,3.7,VENTURE,B,22476,9.53,0.719,N,8,1
33,36547,RENT,3.7,DEBTCONSOLIDATION,E,7328,,0.201,N,20,1
28,34213,RENT,4.3,DEBTCONSOLIDATION,C,14883,12.8,0.435,N,22,0
45,78839,RENT,6.8,PERSONAL,B,30285,10.52,0.384,N,20,0
21,48705,OWN,17.8,DEBTCONSOLIDATION,B,8155,,0.167,N,12,0
39,38045,MORTGAGE,10.5,PERSONAL,F,29962,19.82,0.788,N,12,1
47,39919,MORTGAGE,0.6,VENTURE,D,4544,15.55,0.114,N,22,0
26,49125,RENT,2.1,DEBTCONSOLIDATION,B,31764,9.81,0.647,N,26,0
63,119634,MORTGAGE,1.5,EDUCATION,A,3447,6.72,0.029,N,20,0
27,24832,RENT,1.0,PERSONAL,D,13007,17.9,0.524,N,12,1
54,71077,RENT,3.9,EDUCATION,G,11133,25.4,0.157,N,14,0
33,63546,MORTGAGE,4.0,MEDICAL,A,18693,7.31,0.294,N,4,0
36,30162,MORTGAGE,,EDUCATION,E,9397,19.4,0.312,N,2,1
55,109840,MORTGAGE,6.2,VENTURE,A,18587,7.39,0.169,N,6,0
59,65946,OWN,6.6,DEBTCONSOLIDATION,F,3593,21.47,0.054,N,4,0
23,37076,OWN,0.1,DEBTCONSOLIDATION,D,7768,14.88,0.21,N,4,0
21,17629,RENT,,HOMEIMPROVEMENT,B,32595,12.97,1.849,N,13,1
25,55605,RENT,11.0,VENTURE,B,33085,,0.595,N,5,0
61,47829,RENT,3.7,MEDICAL,C,29020,13.03,0.607,Y,19,0
23,27808,OWN,2.1,DEBTCONSOLIDATION,C,17155,13.05,0.617,N,19,1
